Bank Name,Headquarters,Paid-up capital,Total Assets,Branches
Agriculture Development Bank,"Ramshahpath,Kathmandu",रु 19.29Arab,रु 374.31 Arab,309
Citizens Bank,"Narayanhitipath, Kathmandu",रु 14.77 Arab,रु 248.87 Arab,210
Everest Bank,"Lazimpat, Kathmandu",रु 13.72 Arab,रु 328.03 Arab,145
Global IME Bank Limited,"Kamaladi, Kathmandu",रु 38.12 Arab,रु 674.84 Arab,439
Himalayan Bank,"Kamaladi, Kathmandu",रु 22.58 Arab,रु 390.2 Arab,208
Kumari Bank,"Naxal, Kathmandu",रु 26.23 Arab,रु 352.56 Arab,336
Laxmi Sunrise Bank,"Hattisar, Kathmandu",रु 24.35 Arab,रु 427.7 Arab,300
Machhapuchhre Bank,"Lazimpat, Kathmandu",रु 11.62 Arab,रु 214.53 Arab,185
Nabil Bank,"Teendhara, Kathmandu",रु 27.06 Arab,रु 651.15 Arab,293
Nepal Bank,"Dharmapath, Kathmandu",रु 14.69 Arab,रु 390.99 Arab,300
Nepal Investment Mega Bank,"Durbar Marg, Kathmandu",रु 34.13 Arab,रु 606.21 Arab,339
Nepal SBI Bank,"Kamaladi, Kathmandu",रु 10.90 Arab,रु 231.98 Arab,133
NIC Asia Bank,"Kamaladi, Kathmandu",रु 14.92 Arab,रु 380.14 Arab,474
NMB Bank Nepal,"Babar Mahal, Kathmandu",रु 18.37 Arab,रु 358.04 Arab,214
Prabhu Bank,"Anamnagar, Kathmandu",रु 23.54 Arab,रु 400.24 Arab,396
Prime Commercial Bank,"Kamal Pokhari, Kathmandu",रु 19.40 Arab,रु 321.95 Arab,202
Rastriya Banijya Bank,"Singha Durbar, Kathmandu",रु 15.64 Arab,रु 552.75 Arab,382
Sanima Bank,"Narayanchaur, Kathmandu",रु 13.58 Arab,रु 260.29 Arab,141
Siddhartha Bank,"Naxal, Kathmandu",रु 14.09 Arab,रु 335.55 Arab,205
Standard Chartered Bank,"NayaBaneshwor, Kathmandu",रु 10.04 Arab,रु 156.12 Arab,18
